number,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
10,639721,en,The Addams Family 2,1031.821,2021-10-01,7.4,562,"Animation, Comedy, Family, ",The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,93258233,93,Unhappy to see you again.
11,843241,ja,劇場版 七つの大罪 光に呪われし者たち,1108.815,2021-07-02,8.4,210,"Animation, Action, ","With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",0,0,
12,566525,en,Shang-Chi and the Legend of the Ten Rings,1327.18,2021-09-01,7.7,1414,"Action, Adventure, Fantasy, ",Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,427480601,132,You can't outrun your destiny.
13,568620,en,Snake Eyes: G.I. Joe Origins,1052.222,2021-07-22,6.9,786,"Action, Adventure, ","After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",36964325,121,Every warrior has a beginning.
14,630004,en,The Vault,1046.86,2021-03-03,7.1,392,"Crime, Action, Thriller, ","When an engineer learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",0,118,No job is impossible.
15,672582,en,The Deep House,848.536,2021-06-30,5.5,112,"Horror, " ,"While diving in a remote French lake, a couple of YouTubers who specialize in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realize the worst is yet to come: they are not alone in the house.",0,85,Breathe while you still can.
16,760747,no,I onde dager,863.019,2021-07-30,6.8,118,"Action, Comedy, Thriller, Horror, ","A dysfunctional couple head to a remote lakeside cabin under the guise of reconnecting, but each has secret designs to kill the other. Before they can carry out their respective plans, unexpected visitors arrive and the couple is faced with a greater danger than anything they could have plotted.",0,113,Til Death Do Us Part
17,675319,en,Zone 414,797.785,2021-09-03,5.8,86,"Science_Fiction, Thriller, Mystery, ","In the near future on a colony of state-of-the-art robots, a private investigator is hired by the colony's creator to bring his missing daughter home.",0,98,What hides in the city of robots?
18,635302,ja,劇場版「鬼滅の刃」無限列車編,897.913,2020-10-16,8.4,1833,"Animation, Action, Adventure, Fantasy, ","Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",503063688,117,"With your blade, bring an end to the nightmare."
19,645788,en,The Protégé,832.048,2021-08-19,6.8,330,"Action, Crime, Thriller, ","Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.",8115215,109,"Wherever you run, the past follows..."
20,879163,pt,Peçanha Contra o Animal,943.619,2021-10-22,5.4,13,"Comedy, Crime, ",,0,67,
